ID,STATE_CODE,CONSTITUENCY,LOK_SABHA_ID
2501,OR,Satyabadi,279
2502,OR,Pipili,279
2503,OR,Jayadev,279
2504,OR,"Bhubaneswar Central (Madhya)",279
2505,OR,"Bhubaneswar North",279
2506,OR,"Ekamra Bhubaneswar",279
2507,OR,Jatani,279
2508,OR,Begunia,279
2509,OR,Khurda,279
2510,OR,Chilika,279
2511,OR,Ranpur,279
2512,OR,Khandapada,279
2513,OR,Daspalla,279
2514,OR,Nayagarh,279
2515,OR,Bhanjanagar,279
2516,OR,Polasara,279
2517,OR,Kabisuryanagar,279
2518,OR,Khalikote,279
2519,OR,Chhatrapur,279
2520,OR,Asika,279
2521,OR,Surada,279
2522,OR,Sanakhemundi,279
2523,OR,Hinjili,279
2524,OR,Gopalpur,279
2525,OR,Berhampur,279
2526,OR,Digapahandi,279
2527,OR,Chikiti,279
2528,OR,Mohana,279
2529,OR,Parlakhemundi,279
2530,OR,Gunupur,279
2531,OR,"Bissam Cuttack",279
2532,OR,Rayagada,279
2533,OR,Lakshmipur,279
2534,OR,Kotpad,279
2535,OR,Jeypore,279
2536,OR,Koraput,279
2537,OR,Pottangi,279
2538,OR,Malkangiri,279
2539,OR,Chitrakonda,279
2540,PY,Mannadipet,313
2541,PY,Thirubuvanai,313
2542,PY,Ossudu,313
2543,PY,Mangalam,313
2544,PY,Villianur,313
2545,PY,Ozhukarai,313
2546,PY,Kadirkamam,313
2547,PY,"Indira Nagar",313
2548,PY,Thattanchavady,313
2549,PY,"Kamaraj Nagar",313
2550,PY,Lawspet,313
2551,PY,Kalapet,313
2552,PY,Muthialpet,313
2553,PY,"Raj Bhavan",313
2554,PY,Oupalam,313
2555,PY,Orleampeth,313
2556,PY,Nellithope,313
2557,PY,Mudaliarpet,313
2558,PY,Ariankuppam,313
2559,PY,Manavely,313
2560,PY,Embalam,313
2561,PY,Nettapakkam,313
2562,PY,Bahour,313
2563,PY,Nedungadu,313
2564,PY,Thirunallar,313
2565,PY,"Karaikal North",313
2566,PY,"Karaikal South",313
2567,PY,"Neravy T R Pattinam",313
2568,PY,Mahe,313
2569,PY,Yanam,313
2570,PB,Sujanpur,300
2571,PB,Bhoa,300
2572,PB,Pathankot,300
2573,PB,Gurdaspur,300
2574,PB,"Dina Nagar",300
2575,PB,Qadian,300
2576,PB,Batala,300
2577,PB,"Sri Hargobindpur",300
2578,PB,"Fatehgarh Churian",300
2579,PB,"Dera Baba Nanak",300
2580,PB,Ajnala,300
2581,PB,"Raja Sansi",300
2582,PB,Majitha,300
2583,PB,Jandiala,300
2584,PB,"Amritsar North",300
2585,PB,"Amritsar West",300
2586,PB,"Amritsar Central",300
2587,PB,"Amritsar East",300
2588,PB,"Amritsar South",300
2589,PB,Attari,300
2590,PB,"Tarn Taran",300
2591,PB,"Khem Karan",300
2592,PB,Patti,300
2593,PB,"Khadoor Sahib",300
2594,PB,"Baba Bakala",300
2595,PB,Bholath,300
2596,PB,Kapurthala,300
2597,PB,"Sultanpur Lodhi",300
2598,PB,Phagwara,300
2599,PB,Phillaur,300
2600,PB,Nakodar,300
2601,PB,Shahkot,300
2602,PB,Kartarpur,300
2603,PB,"Jalandhar West",300
2604,PB,"Jalandhar Central",300
2605,PB,"Jalandhar North",300
2606,PB,"Jalandhar Cantt.",300
2607,PB,Adampur,300
2608,PB,Mukerian,300
2609,PB,Dasuya,300
2610,PB,Urmar,300
2611,PB,"Sham Chaurasi",300
2612,PB,Hoshiarpur,300
2613,PB,Chabbewal,300
2614,PB,Garhshankar,300
2615,PB,"Banga ",300
2616,PB,Nawanshahr,300
2617,PB,Balachaur,300
2618,PB,"Anandpur Sahib",300
2619,PB,Rupnagar,300
2620,PB,"Chamkaur Sahib",300
2621,PB,Kharar,300
2622,PB,"S.A.S. Nagar",300
2623,PB,"Bassi Pathana",300
2624,PB,"Fatehgarh Sahib",300
2625,PB,Amloh,300
2626,PB,Khanna,300
2627,PB,Samrala,300
2628,PB,Sahnewal,300
2629,PB,"Ludhiana East",300
2630,PB,"Ludhiana South",300
2631,PB,"Atam Nagar",300
2632,PB,"Ludhiana Central",300
2633,PB,"Ludhiana West",300
2634,PB,"Ludhiana North",300
2635,PB,Gill,300
2636,PB,Payal,300
2637,PB,Dakha,300
2638,PB,Raikot,300
2639,PB,Jagraon,300
2640,PB,"Nihal Singhwala",300
2641,PB,"Bhagha Purana",300
2642,PB,Moga,300
2643,PB,Dharamkot,300
2644,PB,Zira,300
2645,PB,"Firozpur City",300
2646,PB,"Firozpur Rural",300
2647,PB,"Guru Har Sahai",300
2648,PB,Jalalabad,300
2649,PB,Fazilka,300
2650,PB,Abohar,300
2651,PB,Balluana,300
2652,PB,Lambi,300
2653,PB,Gidderbaha,300
2654,PB,Malout,300
2655,PB,Muktsar,300
2656,PB,Faridkot,300
2657,PB,Kotkapura,300
2658,PB,Jaitu,300
2659,PB,"Rampura Phul",300
2660,PB,"Bhucho Mandi",300
2661,PB,"Bathinda Urban",300
2662,PB,"Bathinda Rural",300
2663,PB,"Talwandi Sabo",300
2664,PB,Maur,300
2665,PB,Mansa,300
2666,PB,Sardulgarh,300
2667,PB,Budhlada,300
2668,PB,Lehra,300
2669,PB,Dirba,300
2670,PB,Sunam,300
2671,PB,Bhadaur,300
2672,PB,Barnala,300
2673,PB,"Mehal Kalan",300
2674,PB,Malerkotla,300
2675,PB,Amargarh,300
2676,PB,Dhuri,300
2677,PB,Sangrur,300
2678,PB,Nabha,300
2679,PB,"Patiala Rural",300
2680,PB,Rajpura,300
2681,PB,"Dera Bassi",300
